PLACENS,GEOID,NAMELSAD,CLASSFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID *,SHAPE *
00979118,3639727,Kingston city,C5,A,19379178,3334136,+41.9301241,-73.9967823,267,Polygon
02390923,3639853,Kiryas Joel village,C1,A,3785896,77882,+41.3406673,-74.1672741,268,Polygon
00979124,3640189,Lackawanna city,C5,A,16958231,128249,+42.8184241,-78.8327692,269,Polygon
02390924,3640200,Lacona village,C1,A,2880946,7749,+43.6426538,-76.0660657,270,Polygon
02390925,3640508,Lake George village,C1,A,1517833,0,+43.4259236,-73.7151683,271,Polygon
02390926,3640530,Lake Grove village,C1,A,7653845,2832,+40.8578166,-73.1168438,272,Polygon
02390927,3640761,Lake Placid village,C1,A,3525498,446453,+44.2841700,-73.9864264,273,Polygon
02390928,3640937,Lake Success village,C1,A,4792700,128626,+40.7638827,-73.7111116,274,Polygon
02390929,3641069,Lakewood village,C1,A,5076309,0,+42.0991414,-79.3201018,275,Polygon
02390930,3641135,Lancaster village,C1,A,6989269,87440,+42.9005999,-78.6687755,276,Polygon
02390931,3641223,Lansing village,C1,A,11940517,48816,+42.4901499,-76.4865208,277,Polygon
02390932,3641333,Larchmont village,C1,A,2838001,5124,+40.9259606,-73.7519603,278,Polygon
02390933,3641432,Lattingtown village,C1,A,9705069,198288,+40.8946396,-73.5953435,279,Polygon
02390934,3641487,Laurel Hollow village,C1,A,7660546,527562,+40.8566996,-73.4775420,280,Polygon
02390935,3641520,Laurens village,C1,A,332574,0,+42.5313186,-75.0887158,281,Polygon
02390936,3641553,Lawrence village,C1,A,9628551,2385190,+40.6029236,-73.7144340,282,Polygon
02390938,3641872,Leicester village,C1,A,934563,0,+42.7709392,-77.8969040,283,Polygon
02390937,3642026,Le Roy village,C1,A,6968240,1482,+42.9780055,-77.9908735,284,Polygon
02390939,3642147,Lewiston village,C1,A,2840234,360474,+43.1718691,-79.0395605,285,Polygon
02390940,3642224,Liberty village,C1,A,6787634,9635,+41.7965932,-74.7431951,286,Polygon
02390941,3642323,Lima village,C1,A,3484566,0,+42.9069456,-77.6122653,287,Polygon
02390943,3642554,Lindenhurst village,C1,A,9704444,167700,+40.6857512,-73.3715941,288,Polygon
02390944,3642642,Lisle village,C1,A,2425304,0,+42.3490541,-76.0055221,289,Polygon
00979157,3642741,Little Falls city,C5,A,9941029,392474,+43.0448346,-74.8566876,290,Polygon
02390945,3642829,Little Valley village,C1,A,2595260,0,+42.2493648,-78.7987507,291,Polygon
02390946,3642884,Liverpool village,C1,A,1946367,1467,+43.1055659,-76.2096645,292,Polygon
02390947,3642950,Livonia village,C1,A,2622679,0,+42.8219296,-77.6688000,293,Polygon
02390948,3643005,Lloyd Harbor village,C1,A,24168878,3437131,+40.9214960,-73.4433864,294,Polygon
00979164,3643082,Lockport city,C5,A,21755323,118484,+43.1694596,-78.6958069,295,Polygon
02390949,3643214,Lodi village,C1,A,1427458,5231,+42.6133996,-76.8219779,296,Polygon
00979167,3643335,Long Beach city,C5,A,5743691,4342656,+40.5858353,-73.6654031,297,Polygon
02390950,3643720,Lowville village,C1,A,4949655,0,+43.7866672,-75.4874165,298,Polygon
02390951,3643874,Lynbrook village,C1,A,5213220,0,+40.6578830,-73.6741989,299,Polygon
02390952,3643918,Lyndonville village,C1,A,2653414,0,+43.3213454,-78.3888693,300,Polygon
02390954,3644006,Lyons Falls village,C1,A,2524233,250630,+43.6170076,-75.3616345,301,Polygon
02390974,3644193,McGraw village,C1,A,2556260,0,+42.5937649,-76.0975024,302,Polygon
02390956,3644424,Madison village,C1,A,1236628,0,+42.8977412,-75.5122910,303,Polygon
